Model,Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),AUC-ROC
Random Forest,0.997920997920998,0.9979218152488019,0.997920997920998,0.9979210537845135,0.9999403781835243
Logistic Regression,0.9967329967329968,0.9967348439708278,0.9967329967329968,0.9967331275414757,0.9996161928433843
Naive Bayes,0.9656964656964657,0.9656969738108896,0.9656964656964657,0.965696698416943,0.9930986311025403
